4.550,4.557,0.561,102,13.4,1.73,96,
4.550,4.556,0.561,102,13.2,1.67,97,
4.550,4.554,0.539,102,13.2,1.67,98,
4.550,4.560,0.535,103,13.0,1.59,99,
4.550,4.559,0.561,102,13.2,1.67,100,
4.500,4.487,0.502,102,14.0,1.88,101,
4.500,4.487,0.495,103,14.1,1.87,102,
4.500,4.515,0.498,101,14.0,1.92,103,
4.500,4.500,0.502,101,14.1,1.95,104,
4.500,4.499,0.500,102,14.6,2.05,105,
4.500,4.494,0.496,101,14.0,1.92,106,
4.500,4.492,0.504,103,14.1,1.87,107,
4.500,4.489,0.501,101,14.2,1.98,108,
4.500,4.511,0.503,101,14.1,1.95,109,
4.500,4.505,0.501,103,14.0,1.85,110,
4.450,4.433,0.456,102,15.7,2.37,111,
4.450,4.442,0.450,102,15.7,2.37,112,
4.450,4.435,0.448,101,15.6,2.39,113,
4.450,4.430,0.447,102,15.8,2.40,114,
4.450,4.431,0.458,101,15.4,2.32,115,
4.450,4.458,0.448,102,15.6,2.34,116,
4.450,4.455,0.448,102,15.6,2.34,117,
4.450,4.448,0.449,102,15.3,2.25,118,
4.450,4.445,0.464,101,15.6,2.39,119,
4.450,4.442,0.448,101,15.5,2.36,120,
4.400,4.399,0.401,102,17.4,2.91,121,
4.400,4.386,0.400,102,17.8,3.05,122,
4.400,4.407,0.400,101,17.6,3.04,123,
4.400,4.401,0.398,101,17.2,2.90,124,
4.400,4.414,0.403,102,17.2,2.84,125,
4.400,4.408,0.396,102,17.8,3.05,126,
4.400,4.382,0.400,102,17.8,3.05,127,
4.400,4.412,0.401,102,17.8,3.05,128,
4.400,4.389,0.403,101,17.4,2.97,129,
4.400,4.414,0.401,102,17.8,3.05,130,
4.350,4.373,0.351,101,19.8,3.84,131,
4.350,4.373,0.351,101,19.8,3.84,132,
4.350,4.344,0.351,102,19.8,3.77,133,
4.350,4.335,0.346,103,19.4,3.55,134,
4.350,4.353,0.351,102,19.6,3.69,135,
4.350,4.342,0.353,101,19.4,3.69,136,
4.350,4.363,0.351,102,19.8,3.77,137,
4.350,4.355,0.354,102,19.6,3.69,138,
4.350,4.351,0.358,101,19.6,3.77,139,
4.350,4.356,0.345,102,19.8,3.77,140,
4.300,4.295,0.297,101,22.2,4.83,141,
4.300,4.300,0.300,102,22.0,4.65,142,
4.300,4.308,0.301,103,22.2,4.65,143,
4.300,4.301,0.300,102,22.0,4.65,144,
4.300,4.289,0.303,102,22.0,4.65,145,
4.300,4.300,0.300,101,22.2,4.83,146,
4.300,4.293,0.301,102,22.2,4.74,147,
4.300,4.310,0.295,102,22.0,4.65,148,
4.300,4.312,0.307,102,22.4,4.82,149,
4.300,4.323,0.297,102,22.4,4.82,150,
4.250,4.249,0.250,101,25.4,6.32,151,
4.250,4.240,0.250,102,25.2,6.10,152,
4.250,4.244,0.251,102,25.2,6.10,153,
4.250,4.261,0.251,103,25.4,6.08,154,
4.250,4.248,0.250,101,25.2,6.23,155,
4.250,4.260,0.251,103,25.4,6.08,156,
4.250,4.253,0.251,102,25.6,6.30,157,
4.250,4.243,0.250,101,25.4,6.32,158,
